yyyy,mm,tmax,tmin,af,rain,sun,whitby
degc,degc,days,mm,hours,whitby
1993,2,7.5,3.9,3,8.9,58.1$,whitby
1993,3,9.5,3.2,3,10.2,121.1$,whitby
1993,4,10.4,5.6,1,90.3,88.9$,whitby
1993,5,12.3,7.6,0,46.4,167.8$,whitby
1993,6,17.1,9.6,0,26.0,190.4$,whitby
1993,7,18.3,11.5,0,36.5,182.2$,whitby
1993,8,16.9,10.7,0,139.0,147.7$,whitby
1993,9,14.6,9.7,0,42.6,99.6$,whitby
1993,10,10.9,5.9,1,36.1,85.7$,whitby
1993,11,7.0,2.8,6,52.9,49.4$,whitby
1993,12,7.3,2.8,3,64.6,52.8$,whitby
1994,1,7.1,2.3,4,83.5,75.4$,whitby
1994,2,5.0,0.6,11,52.6,70.5$,whitby
1994,3,10.3,4.7,0,34.0,146.2$,whitby
1994,4,11.1,5.3,0,29.9,175.1$,whitby
1994,5,11.5,6.3,0,21.6,162.4$,whitby
1994,6,17.6,10.3,0,17.5,223.2$,whitby
1994,7,20.2,13.4,0,40.2,209.8$,whitby
1994,8,18.4,12.3,0,38.3,157.3$,whitby
1994,9,14.8,8.4,0,62.2,108.0$,whitby
1994,10,12.4,6.6,0,37.0,94.5$,whitby
1994,11,11.9,6.7,0,49.8,81.5$,whitby
1994,12,8.7,3.3,3,88.7,57.5$,whitby
1995,1,6.8,0.6,15,68.1,47.0$,whitby
1995,2,8.9,3.3,1,50.8,104.2$,whitby
1995,3,8.4,2.6,5,25.3,173.9$,whitby
1995,4,10.9,5.7,0,---,185.0$,whitby
1995,5,14.3,8.0,0,27.0,214.6$,whitby
1995,6,14.4,9.0,0,25.6,---,$,whitby
1995,7,20.5,13.2,0,25.5,---,$,whitby
1995,8,19.7,12.9,0,3.4,---,$,whitby
1995,9,15.3,10.9,0,95.4,---,$,whitby
1995,10,16.2,9.4,0,15.4,---,$,whitby
1995,11,10.3,5.7,0,50.3,57.1$,whitby
1995,12,5.4,0.1,12,74.1,28.1$,whitby
1996,1,5.6,1.8,4,42.0,8.7$,whitby
1996,2,5.4,0.6,12,47.9,77.5$,whitby
1996,3,4.7,2.0,2,19.6,36.2$,whitby
1996,4,11.2,3.5,5,25.8,146.4$,whitby
